ownershg,value,rent,ftotinc,nfams,ncouples,nmothers,nfathers,momloc,momrule,poploc,poprule,sploc,sprule,famsize,nchild,nchlt5,famunit,nsibs,relateg,age,sex,raceg,marst,school,educrec,schltype,occscore,sei,inctot,incwage,incfarm,incss,poverty,migrat5g,movedin,binaryClass
Rented,999999.0,575.0,23137.0,1,1,2,1,0,0,0,0,0,0,6,2,0,1,0,Parent-in-Law,41.0,Female,White,Married_spouse_absent,No_not_in_school,None_or_preschool,Not_enrolled,0.0,0.0,0.0,0.0,0,0.0,133.0,Moved_place_not_reported,0,P
Rented,999999.0,337.0,56000.0,1,1,1,1,0,0,0,0,2,1,3,1,0,1,0,Head_Householder,57.0,Male,White,Married_spouse_present,Yes_in_school,Grade_12,Public_school,18.0,19.0,49000.0,49000.0,0,0.0,501.0,Same_house,5,N
Rented,999999.0,462.0,15846.0,1,1,1,1,0,0,0,0,2,1,5,3,3,1,0,Head_Householder,25.0,Male,White,Married_spouse_present,No_not_in_school,Grade_1-4,Not_enrolled,11.0,11.0,15846.0,15846.0,0,0.0,107.0,Moved_place_not_reported,1,N
Owned_or_being_bought_(loan),350000.0,0.0,106079.0,1,1,0,0,0,0,0,0,1,1,2,0,0,1,0,Spouse,66.0,Female,White,Married_spouse_present,No_not_in_school,Grade_12,Not_enrolled,0.0,0.0,4848.0,0.0,0,0.0,501.0,Same_house,0,P
Owned_or_being_bought_(loan),112500.0,0.0,25800.0,1,1,0,0,0,0,0,0,1,1,2,0,0,1,0,Spouse,21.0,Female,White,Married_spouse_present,No_not_in_school,1_to_3_years_of_college,Not_enrolled,35.0,66.0,10400.0,10000.0,0,0.0,311.0,Moved_place_not_reported,0,P
Rented,999999.0,362.0,93280.0,1,1,1,1,2,1,1,1,0,0,4,0,0,1,1,Child,17.0,Female,White,Never_married_single,Yes_in_school,Grade_12,Public_school,24.0,44.0,85000.0,85000.0,0,0.0,501.0,Same_house,0,P
Rented,999999.0,725.0,41420.0,1,1,2,1,3,1,0,0,0,0,10,0,0,1,2,Sibling,30.0,Male,White,Married_spouse_absent,No_not_in_school,Grade_1-4,Not_enrolled,11.0,11.0,14820.0,14820.0,0,0.0,161.0,Moved_place_not_reported,0,P
Owned_or_being_bought_(loan),112500.0,0.0,49185.0,1,1,1,1,2,1,1,1,0,0,4,0,0,1,1,Child,26.0,Female,White,Never_married_single,Yes_in_school,1_to_3_years_of_college,Public_school,24.0,44.0,6200.0,6000.0,0,0.0,385.0,Same_house,0,P
Owned_or_being_bought_(loan),112500.0,0.0,44780.0,1,1,1,1,0,0,0,0,2,1,3,1,0,1,0,Head_Householder,45.0,Male,Black_Negro,Married_spouse_present,No_not_in_school,1_to_3_years_of_college,Not_enrolled,32.0,34.0,25000.0,25000.0,0,0.0,449.0,Same_house,2,P
Rented,999999.0,575.0,195516.0,1,1,1,1,2,1,1,1,0,0,10,0,0,1,7,Child,6.0,Female,Black_Negro,Never_married_single,Yes_in_school,None_or_preschool,Public_school,0.0,0.0,0.0,999999.0,999999,99999.0,501.0,Moved_place_not_reported,0,P
Owned_or_being_bought_(loan),400000.0,0.0,132200.0,1,1,2,1,0,0,0,0,0,0,5,1,0,1,0,Parent-in-Law,82.0,Female,White,Widowed,No_not_in_school,1_to_3_years_of_college,Not_enrolled,0.0,0.0,7700.0,0.0,0,6500.0,501.0,Moved_place_not_reported,0,P
Owned_or_being_bought_(loan),112500.0,0.0,50500.0,1,1,1,1,2,1,1,1,0,0,4,0,0,1,1,Child,16.0,Female,White,Never_married_single,Yes_in_school,Grade_9,Public_school,18.0,44.0,1500.0,1500.0,0,0.0,402.0,Moved_place_not_reported,0,N
Owned_or_being_bought_(loan),350000.0,0.0,18480.0,1,1,0,0,0,0,0,0,2,1,2,0,0,1,0,Head_Householder,73.0,Male,White,Married_spouse_present,No_not_in_school,4+_years_of_college,Not_enrolled,0.0,0.0,16980.0,0.0,0,1800.0,247.0,Same_house,7,P
Rented,999999.0,725.0,0.0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,Partner_friend_visitor,67.0,Female,Black_Negro,Divorced,No_not_in_school,Grade_5-8,Not_enrolled,0.0,0.0,4320.0,0.0,0,4320.0,73.0,Same_house,0,P
Rented,999999.0,725.0,21000.0,2,0,1,0,0,0,0,0,0,0,2,1,0,2,0,Other_non-relatives,22.0,Female,White,Never_married_single,No_not_in_school,Grade_11,Not_enrolled,25.0,44.0,3120.0,3120.0,0,0.0,37.0,Moved_place_not_reported,0,P
Owned_or_being_bought_(loan),187500.0,0.0,2177.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Head_Householder,71.0,Female,White,Widowed,No_not_in_school,Grade_11,Not_enrolled,0.0,0.0,2177.0,0.0,0,1596.0,37.0,Same_house,8,P
Rented,999999.0,875.0,130603.0,1,1,1,1,2,1,1,1,0,0,5,0,0,1,2,Child,9.0,Female,Other_race_nec,Never_married_single,Yes_in_school,Grade_1-4,Public_school,0.0,0.0,0.0,999999.0,999999,99999.0,501.0,Moved_place_not_reported,0,P
Rented,999999.0,537.0,7668.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Head_Householder,72.0,Female,White,Widowed,No_not_in_school,Grade_12,Not_enrolled,0.0,0.0,7668.0,0.0,0,7668.0,129.0,Moved_place_not_reported,2,P
Owned_or_being_bought_(loan),137500.0,0.0,88800.0,1,1,0,0,0,0,0,0,1,1,2,0,0,1,0,Spouse,30.0,Female,White,Married_spouse_present,Yes_in_school,4+_years_of_college,Private_school_(19601990),26.0,72.0,42900.0,42000.0,0,0.0,501.0,Moved_place_not_reported,0,P
Rented,999999.0,537.0,31720.0,1,0,1,0,0,0,0,0,0,0,4,0,0,1,0,Head_Householder,34.0,Male,White,Separated,No_not_in_school,None_or_preschool,Not_enrolled,15.0,15.0,25000.0,25000.0,0,0.0,252.0,Moved_place_not_reported,1,P
Rented,999999.0,512.0,26200.0,3,1,0,0,0,0,0,0,0,0,1,0,0,2,0,Partner_friend_visitor,24.0,Male,White,Never_married_single,No_not_in_school,4+_years_of_college,Not_enrolled,41.0,84.0,19040.0,19000.0,0,0.0,295.0,Moved_place_not_reported,0,P
Rented,999999.0,675.0,26700.0,2,1,2,1,1,1,2,1,0,0,17,0,0,1,9,Child,14.0,Female,White,Never_married_single,No_not_in_school,Grade_5-8,Not_enrolled,0.0,0.0,0.0,999999.0,999999,99999.0,111.0,Moved_place_not_reported,0,P
Rented,999999.0,1000.0,136676.0,1,1,1,1,0,0,0,0,2,1,5,3,0,1,0,Head_Householder,48.0,Male,Chinese,Married_spouse_present,No_not_in_school,4+_years_of_college,Not_enrolled,41.0,68.0,133454.0,132992.0,0,0.0,501.0,Moved_place_not_reported,2,P
Rented,999999.0,575.0,32150.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Head_Householder,40.0,Male,White,Never_married_single,No_not_in_school,4+_years_of_college,Not_enrolled,24.0,47.0,32150.0,32000.0,0,0.0,498.0,Moved_place_not_reported,2,P
Owned_or_being_bought_(loan),187500.0,0.0,31000.0,1,1,1,1,0,0,0,0,2,1,4,2,2,1,0,Head_Householder,29.0,Male,White,Married_spouse_present,No_not_in_school,Grade_12,Not_enrolled,24.0,47.0,10000.0,10000.0,0,0.0,247.0,Moved_place_not_reported,2,P
Rented,999999.0,725.0,28400.0,1,2,2,2,0,0,0,0,1,1,8,3,0,1,0,Spouse,57.0,Female,Other_Asian_or_Pacific,Married_spouse_present,No_not_in_school,Grade_9,Not_enrolled,20.0,9.0,0.0,0.0,0,0.0,126.0,Same_house,0,P
Owned_or_being_bought_(loan),112500.0,0.0,26829.0,1,1,1,1,2,1,1,1,0,0,5,0,0,1,2,Child,13.0,Female,White,Never_married_single,Yes_in_school,Grade_5-8,Public_school,0.0,0.0,0.0,999999.0,999999,99999.0,181.0,Moved_place_not_reported,0,P
Rented,999999.0,362.0,22131.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Head_Householder,26.0,Female,White,Never_married_single,No_not_in_school,1_to_3_years_of_college,Not_enrolled,22.0,61.0,22131.0,22131.0,0,0.0,343.0,Moved_place_not_reported,2,P
Owned_or_being_bought_(loan),137500.0,0.0,33000.0,2,1,1,1,0,0,0,0,2,1,4,2,1,1,0,Head_Householder,34.0,Male,Black_Negro,Married_spouse_present,No_not_in_school,Grade_12,Not_enrolled,35.0,62.0,18000.0,18000.0,0,0.0,262.0,Same_house,6,P
Rented,999999.0,362.0,7000.0,1,0,2,0,1,1,0,0,0,0,4,2,2,1,0,Child,17.0,Female,White,Never_married_single,No_not_in_school,Grade_10,Not_enrolled,0.0,0.0,0.0,0.0,0,0.0,55.0,Moved_place_not_reported,0,P
Owned_or_being_bought_(loan),400000.0,0.0,191103.0,1,1,0,0,0,0,0,0,1,1,2,0,0,1,0,Spouse,54.0,Female,White,Married_spouse_present,No_not_in_school,1_to_3_years_of_college,Not_enrolled,0.0,0.0,17500.0,0.0,0,0.0,501.0,Moved_place_not_reported,0,P
Rented,999999.0,512.0,15620.0,1,0,0,1,0,0,0,0,0,0,8,5,2,1,1,Head_Householder,38.0,Male,White,Widowed,No_not_in_school,Grade_5-8,Not_enrolled,17.0,11.0,9000.0,0.0,0,0.0,74.0,Moved_place_not_reported,2,P
Owned_or_being_bought_(loan),225000.0,0.0,40000.0,1,1,1,1,2,1,1,1,0,0,7,0,0,1,4,Child,15.0,Female,White,Never_married_single,Yes_in_school,Grade_5-8,Public_school,0.0,0.0,0.0,999999.0,999999,0.0,202.0,Same_house,0,P
Rented,999999.0,537.0,13100.0,1,1,1,1,0,0,0,0,2,1,3,1,0,1,0,Head_Householder,64.0,Male,Black_Negro,Married_spouse_present,No_not_in_school,Grade_12,Not_enrolled,18.0,44.0,1100.0,1100.0,0,0.0,135.0,Same_house,5,P
Owned_or_being_bought_(loan),400000.0,0.0,180000.0,1,1,1,1,2,1,1,1,0,0,3,0,0,1,0,Child,18.0,Female,White,Never_married_single,Yes_in_school,1_to_3_years_of_college,Public_school,31.0,65.0,2000.0,2000.0,0,0.0,501.0,Moved_place_not_reported,0,P
Owned_or_being_bought_(loan),112500.0,0.0,60711.0,1,1,1,1,2,1,1,1,0,0,3,0,0,1,0,Child,51.0,Male,White,Divorced,No_not_in_school,1_to_3_years_of_college,Not_enrolled,16.0,15.0,12808.0,10758.0,0,0.0,501.0,Same_house,0,P
Rented,999999.0,412.0,16365.0,1,0,1,0,0,0,0,0,0,0,3,2,2,1,0,Head_Householder,25.0,Female,White,Never_married_single,No_not_in_school,Grade_5-8,Not_enrolled,0.0,0.0,16365.0,0.0,0,0.0,164.0,Moved_place_not_reported,5,P
Rented,999999.0,625.0,6720.0,1,0,1,0,1,1,0,0,0,0,3,0,0,1,1,Child,20.0,Male,Black_Negro,Never_married_single,No_not_in_school,Grade_12,Not_enrolled,0.0,0.0,0.0,0.0,0,0.0,67.0,Same_house,0,P
Owned_or_being_bought_(loan),275000.0,0.0,35760.0,1,0,1,1,0,0,0,0,0,0,4,2,0,1,0,Head_Householder,48.0,Female,White,Divorced,No_not_in_school,1_to_3_years_of_college,Not_enrolled,31.0,73.0,60.0,0.0,0,0.0,275.0,Moved_place_not_reported,6,P
Owned_or_being_bought_(loan),225000.0,0.0,74828.0,1,1,1,1,2,1,1,1,0,0,4,0,0,1,1,Child,12.0,Male,Black_Negro,Never_married_single,Yes_in_school,Grade_5-8,Public_school,0.0,0.0,0.0,999999.0,999999,99999.0,501.0,Same_house,0,P
Rented,999999.0,575.0,12000.0,1,1,1,1,2,1,1,1,0,0,5,0,0,1,2,Child,7.0,Male,White,Never_married_single,Yes_in_school,Grade_1-4,Public_school,0.0,0.0,0.0,999999.0,999999,99999.0,79.0,Moved_place_not_reported,0,P
Rented,999999.0,875.0,6000.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Head_Householder,34.0,Female,White,Never_married_single,Yes_in_school,1_to_3_years_of_college,Private_school_(19601990),24.0,47.0,6000.0,6000.0,0,0.0,93.0,Moved_place_not_reported,2,P
Owned_or_being_bought_(loan),225000.0,0.0,33570.0,1,1,1,1,2,1,1,1,0,0,7,0,0,1,3,Child,12.0,Female,Other_Asian_or_Pacific,Never_married_single,Yes_in_school,Grade_5-8,Public_school,0.0,0.0,0.0,999999.0,999999,99999.0,175.0,Moved_place_not_reported,0,P
Owned_or_being_bought_(loan),162500.0,0.0,41000.0,1,0,2,0,0,0,0,0,0,0,5,2,0,1,0,Parent,68.0,Female,White,Widowed,No_not_in_school,Grade_10,Not_enrolled,0.0,0.0,6000.0,0.0,0,0.0,270.0,Moved_place_not_reported,0,P
Rented,999999.0,625.0,12000.0,1,1,0,0,0,0,0,0,1,1,3,0,0,1,0,Spouse,30.0,Female,White,Married_spouse_present,No_not_in_school,1_to_3_years_of_college,Not_enrolled,0.0,0.0,0.0,0.0,0,0.0,120.0,Moved_place_not_reported,0,P
Owned_or_being_bought_(loan),187500.0,0.0,64000.0,1,1,1,1,0,0,0,0,1,1,5,3,1,1,0,Spouse,28.0,Female,White,Married_spouse_present,No_not_in_school,1_to_3_years_of_college,Not_enrolled,24.0,44.0,15000.0,15000.0,0,0.0,432.0,Same_house,0,P
Owned_or_being_bought_(loan),137500.0,0.0,34362.0,4,1,1,1,2,1,1,1,0,0,6,0,0,1,2,Child,6.0,Male,White,Never_married_single,Yes_in_school,None_or_preschool,Public_school,0.0,0.0,0.0,999999.0,999999,99999.0,197.0,Same_house,0,P
Owned_or_being_bought_(loan),187500.0,0.0,28775.0,1,1,0,0,0,0,0,0,1,1,2,0,0,1,0,Spouse,78.0,Female,White,Married_spouse_present,No_not_in_school,Grade_12,Not_enrolled,0.0,0.0,14030.0,0.0,0,6323.0,384.0,Same_house,0,P
Owned_or_being_bought_(loan),400000.0,0.0,59443.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Head_Householder,74.0,Female,White,Widowed,No_not_in_school,Grade_12,Not_enrolled,0.0,0.0,59443.0,0.0,0,840.0,501.0,Same_house,8,P
Rented,999999.0,462.0,0.0,1,1,1,1,0,0,0,0,2,1,6,4,1,1,0,Head_Householder,29.0,Male,White,Married_spouse_present,No_not_in_school,Grade_5-8,Not_enrolled,27.0,22.0,0.0,0.0,0,0.0,1.0,Moved_place_not_reported,1,P
Owned_or_being_bought_(loan),350000.0,0.0,43000.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Head_Householder,48.0,Female,White,Divorced,No_not_in_school,1_to_3_years_of_college,Not_enrolled,22.0,61.0,43000.0,40000.0,0,0.0,501.0,Same_house,6,P
Owned_or_being_bought_(loan),225000.0,0.0,1063.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Head_Householder,74.0,Female,White,Widowed,No_not_in_school,1_to_3_years_of_college,Not_enrolled,0.0,0.0,1063.0,0.0,0,663.0,18.0,Same_house,8,P
Rented,999999.0,1000.0,37500.0,1,1,1,1,0,0,0,0,1,1,5,3,0,1,0,Spouse,32.0,Female,American_Indian,Married_spouse_present,No_not_in_school,Grade_12,Not_enrolled,26.0,22.0,2500.0,2500.0,0,0.0,253.0,Moved_place_not_reported,0,P
Rented,999999.0,362.0,5200.0,2,0,1,0,1,1,0,0,0,0,3,0,0,1,1,Child,7.0,Female,White,Never_married_single,Yes_in_school,Grade_1-4,Public_school,0.0,0.0,0.0,999999.0,999999,99999.0,52.0,Moved_place_not_reported,0,P
Rented,999999.0,575.0,22845.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Head_Householder,52.0,Female,White,Never_married_single,No_not_in_school,1_to_3_years_of_college,Not_enrolled,22.0,61.0,22845.0,22845.0,0,0.0,354.0,Moved_place_not_reported,2,P
Owned_or_being_bought_(loan),162500.0,0.0,22000.0,1,1,1,1,2,1,1,1,0,0,8,0,0,1,4,Child,17.0,Male,White,Never_married_single,Yes_in_school,Grade_10,Public_school,0.0,0.0,0.0,0.0,0,0.0,104.0,Same_house,0,P
Rented,999999.0,362.0,54831.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Head_Householder,60.0,Male,White,Never_married_single,Yes_in_school,4+_years_of_college,Public_school,48.0,87.0,54831.0,2100.0,0,0.0,501.0,Same_house,6,P
Rented,999999.0,462.0,15000.0,1,1,1,1,0,0,0,0,1,1,5,3,3,1,0,Spouse,35.0,Female,White,Married_spouse_present,Yes_in_school,Grade_9,Public_school,6.0,7.0,3000.0,3000.0,0,0.0,101.0,Moved_place_not_reported,0,N
Rented,999999.0,875.0,25000.0,1,1,1,1,0,0,0,0,2,1,4,2,2,1,0,Head_Householder,36.0,Male,White,Married_spouse_present,No_not_in_school,1_to_3_years_of_college,Not_enrolled,32.0,49.0,22000.0,22000.0,0,0.0,199.0,Moved_place_not_reported,1,P
Owned_or_being_bought_(loan),137500.0,0.0,35000.0,1,1,1,1,2,1,1,1,0,0,4,0,0,1,1,Child,16.0,Male,White,Never_married_single,Yes_in_school,Grade_10,Public_school,0.0,0.0,0.0,0.0,0,0.0,278.0,Same_house,0,P
Rented,999999.0,437.0,0.0,2,0,1,0,1,1,0,0,0,0,3,0,0,1,1,Child,8.0,Female,White,Never_married_single,Yes_in_school,Grade_1-4,Public_school,0.0,0.0,0.0,999999.0,999999,99999.0,1.0,Moved_place_not_reported,0,P
Owned_or_being_bought_(loan),112500.0,0.0,18540.0,2,0,2,0,0,0,0,0,0,0,3,1,0,1,0,Head_Householder,61.0,Female,Black_Negro,Divorced,No_not_in_school,1_to_3_years_of_college,Not_enrolled,17.0,13.0,10500.0,10500.0,0,0.0,186.0,Same_house,7,P
Owned_or_being_bought_(loan),225000.0,0.0,60000.0,1,1,0,0,0,0,0,0,1,1,2,0,0,1,0,Spouse,42.0,Female,White,Married_spouse_present,No_not_in_school,1_to_3_years_of_college,Not_enrolled,41.0,68.0,30000.0,0.0,0,0.0,501.0,Moved_place_not_reported,0,P
Rented,999999.0,337.0,20000.0,1,1,2,1,2,1,1,1,0,0,5,1,1,1,1,Child,15.0,Female,White,Never_married_single,Yes_in_school,Grade_9,Public_school,0.0,0.0,0.0,999999.0,999999,0.0,135.0,Same_house,0,P
Owned_or_being_bought_(loan),400000.0,0.0,442721.0,1,1,1,1,2,1,1,1,0,0,4,0,0,1,1,Child,24.0,Female,White,Never_married_single,No_not_in_school,1_to_3_years_of_college,Not_enrolled,24.0,47.0,2000.0,2000.0,0,0.0,501.0,Same_house,0,P
Rented,999999.0,875.0,11552.0,2,0,1,0,1,1,0,0,0,0,5,0,0,1,3,Child,8.0,Female,White,Never_married_single,Yes_in_school,Grade_1-4,Public_school,0.0,0.0,0.0,999999.0,999999,99999.0,79.0,Moved_place_not_reported,0,P
Owned_or_being_bought_(loan),187500.0,0.0,63100.0,1,0,1,0,1,1,0,0,0,0,3,0,0,1,1,Child,30.0,Female,White,Never_married_single,No_not_in_school,1_to_3_years_of_college,Not_enrolled,30.0,44.0,22300.0,22300.0,0,0.0,501.0,Same_house,0,P
Rented,999999.0,412.0,15328.0,1,0,1,1,1,1,0,0,0,0,7,0,0,1,4,Child,16.0,Male,White,Never_married_single,Yes_in_school,Grade_11,Public_school,20.0,8.0,928.0,928.0,0,0.0,80.0,Moved_place_not_reported,0,P
Rented,999999.0,675.0,15000.0,5,1,0,0,0,0,0,0,2,1,3,0,0,1,0,Head_Householder,27.0,Male,White,Married_spouse_present,No_not_in_school,Grade_12,Not_enrolled,17.0,11.0,11500.0,11500.0,0,0.0,155.0,Same_house,2,P
Rented,999999.0,675.0,50000.0,1,1,1,1,2,1,1,1,0,0,6,0,0,1,3,Child,12.0,Male,White,Never_married_single,Yes_in_school,Grade_5-8,Public_school,0.0,0.0,0.0,999999.0,999999,99999.0,302.0,Same_house,0,P
Owned_or_being_bought_(loan),225000.0,0.0,23463.0,1,0,1,0,0,0,0,0,0,0,2,1,0,1,0,Head_Householder,67.0,Female,White,Divorced,No_not_in_school,4+_years_of_college,Not_enrolled,24.0,44.0,12922.0,2470.0,0,0.0,313.0,Same_house,8,P
Owned_or_being_bought_(loan),400000.0,0.0,160300.0,1,1,0,0,0,0,0,0,2,1,2,0,0,1,0,Head_Householder,33.0,Male,Other_Asian_or_Pacific,Married_spouse_present,No_not_in_school,1_to_3_years_of_college,Not_enrolled,27.0,49.0,160300.0,100000.0,0,0.0,501.0,Same_house,1,P
Rented,999999.0,512.0,31000.0,1,2,0,0,0,0,0,0,3,2,4,0,0,1,0,Other_relatives,24.0,Male,White,Married_spouse_present,No_not_in_school,Grade_11,Not_enrolled,25.0,44.0,0.0,0.0,0,0.0,242.0,Moved_place_not_reported,0,P
Owned_or_being_bought_(loan),137500.0,0.0,53276.0,1,0,1,0,0,0,0,0,0,0,3,2,0,1,0,Head_Householder,74.0,Female,White,Widowed,No_not_in_school,Grade_5-8,Not_enrolled,0.0,0.0,4776.0,0.0,0,4776.0,501.0,Same_house,8,P
Owned_or_being_bought_(loan),187500.0,0.0,43550.0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Head_Householder,32.0,Female,Other_Asian_or_Pacific,Never_married_single,No_not_in_school,1_to_3_years_of_college,Not_enrolled,41.0,68.0,43550.0,43550.0,0,0.0,501.0,Moved_place_not_reported,2,P
Owned_or_being_bought_(loan),400000.0,0.0,220516.0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Head_Householder,48.0,Male,Black_Negro,Separated,No_not_in_school,1_to_3_years_of_college,Not_enrolled,46.0,84.0,220516.0,195516.0,0,0.0,501.0,Same_house,5,N
Owned_or_being_bought_(loan),162500.0,0.0,39600.0,1,1,1,1,0,0,0,0,2,1,4,2,0,1,0,Head_Householder,39.0,Male,White,Married_spouse_present,No_not_in_school,1_to_3_years_of_college,Not_enrolled,23.0,18.0,30600.0,30000.0,0,0.0,315.0,Same_house,5,P
Rented,999999.0,512.0,19900.0,2,1,2,1,0,0,0,0,0,0,5,2,0,1,0,Parent,38.0,Female,White,Widowed,No_not_in_school,Grade_11,Not_enrolled,16.0,15.0,6900.0,6900.0,0,0.0,127.0,Moved_place_not_reported,0,N
Owned_or_being_bought_(loan),95000.0,0.0,25633.0,1,0,2,0,1,1,0,0,0,0,5,2,0,1,1,Child,31.0,Female,Black_Negro,Never_married_single,No_not_in_school,1_to_3_years_of_college,Not_enrolled,24.0,10.0,17521.0,17205.0,0,0.0,169.0,Same_house,0,P
Rented,999999.0,387.0,23700.0,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,Head_Householder,42.0,Male,White,Never_married_single,No_not_in_school,Grade_5-8,Not_enrolled,25.0,18.0,23700.0,23700.0,0,0.0,367.0,Moved_place_not_reported,2,P
Owned_or_being_bought_(loan),400000.0,0.0,84544.0,1,2,2,2,6,1,5,1,1,1,6,2,0,1,0,Spouse,46.0,Female,White,Married_spouse_present,No_not_in_school,4+_years_of_college,Not_enrolled,38.0,68.0,32000.0,32000.0,0,0.0,475.0,Same_house,0,P
Owned_or_being_bought_(loan),112500.0,0.0,45224.0,1,1,1,1,0,0,0,0,0,0,4,0,0,1,0,Grandchild,11.0,Male,White,Never_married_single,Yes_in_school,Grade_1-4,Public_school,0.0,0.0,0.0,999999.0,999999,99999.0,348.0,Same_house,0,P
Rented,999999.0,412.0,45000.0,1,1,1,1,0,0,0,0,1,1,4,2,0,1,0,Spouse,37.0,Female,White,Married_spouse_present,No_not_in_school,1_to_3_years_of_college,Not_enrolled,27.0,64.0,15000.0,15000.0,0,0.0,358.0,Same_house,0,P
Owned_or_being_bought_(loan),350000.0,0.0,0.0,1,1,1,1,2,1,1,1,0,0,3,0,0,1,0,Child,13.0,Female,White,Never_married_single,Yes_in_school,Grade_5-8,Public_school,0.0,0.0,0.0,999999.0,999999,99999.0,1.0,Same_house,0,P
Rented,999999.0,387.0,16455.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Head_Householder,76.0,Female,White,Never_married_single,No_not_in_school,4+_years_of_college,Not_enrolled,0.0,0.0,16455.0,0.0,0,5902.0,277.0,Same_house,6,P
Owned_or_being_bought_(loan),137500.0,0.0,53600.0,1,1,1,1,2,1,1,1,0,0,4,0,0,1,1,Child,17.0,Female,White,Never_married_single,Yes_in_school,Grade_10,Public_school,0.0,0.0,0.0,0.0,0,0.0,412.0,Same_house,0,P
Owned_or_being_bought_(loan),162500.0,0.0,62320.0,1,2,1,1,0,0,0,0,6,1,7,0,0,1,0,Sibling-in-Law,27.0,Female,White,Married_spouse_present,No_not_in_school,Grade_11,Not_enrolled,0.0,0.0,0.0,0.0,0,0.0,315.0,Moved_place_not_reported,0,P
Owned_or_being_bought_(loan),400000.0,0.0,21270.0,1,1,0,0,0,0,0,0,2,1,2,0,0,1,0,Head_Householder,49.0,Male,White,Married_spouse_present,No_not_in_school,Grade_12,Not_enrolled,0.0,0.0,0.0,0.0,0,0.0,256.0,Same_house,7,P
Owned_or_being_bought_(loan),95000.0,0.0,56000.0,1,1,1,1,0,0,0,0,2,1,7,5,0,1,0,Head_Householder,46.0,Male,White,Married_spouse_present,No_not_in_school,Grade_1-4,Not_enrolled,20.0,8.0,35000.0,35000.0,0,0.0,283.0,Same_house,6,P
Owned_or_being_bought_(loan),350000.0,0.0,56000.0,1,1,0,0,0,0,0,0,1,1,2,0,0,1,0,Spouse,47.0,Female,White,Married_spouse_present,No_not_in_school,Grade_11,Not_enrolled,9.0,6.0,4000.0,4000.0,0,0.0,501.0,Same_house,0,P
Owned_or_being_bought_(loan),400000.0,0.0,90000.0,1,1,1,1,0,0,0,0,2,1,5,3,0,1,0,Head_Householder,45.0,Male,White,Married_spouse_present,No_not_in_school,1_to_3_years_of_college,Not_enrolled,32.0,37.0,60000.0,60000.0,0,0.0,501.0,Same_house,6,P
Rented,999999.0,875.0,35500.0,1,1,1,1,2,1,1,1,0,0,3,0,0,1,0,Child,14.0,Male,Black_Negro,Never_married_single,Yes_in_school,Grade_5-8,Private_school_(19601990),0.0,0.0,0.0,999999.0,999999,99999.0,356.0,Moved_place_not_reported,0,P
Owned_or_being_bought_(loan),112500.0,0.0,67000.0,1,1,1,1,2,1,1,1,0,0,7,0,0,1,4,Child,24.0,Male,White,Married_spouse_absent,No_not_in_school,Grade_12,Not_enrolled,20.0,8.0,23000.0,23000.0,0,0.0,333.0,Same_house,0,P
Rented,999999.0,537.0,38431.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Head_Householder,40.0,Male,White,Never_married_single,No_not_in_school,4+_years_of_college,Not_enrolled,22.0,60.0,38431.0,38431.0,0,0.0,501.0,Moved_place_not_reported,2,P
Owned_or_being_bought_(loan),137500.0,0.0,46349.0,1,1,1,1,0,0,0,0,1,1,6,3,1,1,0,Spouse,26.0,Female,White,Married_spouse_present,No_not_in_school,Grade_5-8,Not_enrolled,22.0,18.0,15000.0,15000.0,0,0.0,271.0,Moved_place_not_reported,0,P
Rented,999999.0,875.0,62000.0,1,1,1,1,0,0,0,0,1,2,3,1,1,1,0,Spouse,36.0,Male,White,Married_spouse_present,No_not_in_school,1_to_3_years_of_college,Not_enrolled,22.0,45.0,32000.0,32000.0,0,0.0,501.0,Moved_place_not_reported,0,P
Owned_or_being_bought_(loan),162500.0,0.0,39000.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Head_Householder,30.0,Male,White,Never_married_single,No_not_in_school,1_to_3_years_of_college,Not_enrolled,34.0,47.0,39000.0,39000.0,0,0.0,501.0,Moved_place_not_reported,2,P
Rented,999999.0,412.0,14400.0,1,0,1,0,1,1,0,0,0,0,2,0,0,1,0,Child,48.0,Male,Other_Asian_or_Pacific,Never_married_single,No_not_in_school,Grade_12,Not_enrolled,0.0,0.0,7200.0,0.0,0,0.0,173.0,Same_house,0,P
